timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
8.41328,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.42336,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.43348,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.44356,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.45364,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.46371,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.47379,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.48388,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.49395,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
8.50406,10,100,0,0,0,0,1.63e-07,1,0,0,0,0,0,0,0
