timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
9.32258,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.33272,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.3428,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.35291,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.36304,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.37313,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.38321,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.3933,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.40338,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
9.41411,10,100,0,0,0,0,1.52e-07,1,0,0,0,0,0,0,0
